instanceLabel,item,itemLabel,entity_id,related_works_count
human,http://www.wikidata.org/entity/Q1903120,Marthe Gosteli,Q1903120,0
human,http://www.wikidata.org/entity/Q18158699,Robert S. Bilheimer,Q18158699,0
human,http://www.wikidata.org/entity/Q56634072,Maurice Rossel,Q56634072,0
human,http://www.wikidata.org/entity/Q57661226,Hilda Eisen,Q57661226,0
human,http://www.wikidata.org/entity/Q65054271,Chauncey Eskridge,Q65054271,0
human,http://www.wikidata.org/entity/Q1260,Kurt Waldheim,Q1260,1
human,http://www.wikidata.org/entity/Q8023,Nelson Mandela,Q8023,19
human,http://www.wikidata.org/entity/Q5052880,Catherine Pollard,Q5052880,0
human,http://www.wikidata.org/entity/Q8073486,Zoia Horn,Q8073486,0
human,http://www.wikidata.org/entity/Q5662252,Harold Rubens,Q5662252,0
human,http://www.wikidata.org/entity/Q27859437,David Carliner,Q27859437,0
human,http://www.wikidata.org/entity/Q7087425,Oliver Brown,Q7087425,0
human,http://www.wikidata.org/entity/Q5752479,Carmen Casco de Lara Castro,Q5752479,0
human,http://www.wikidata.org/entity/Q313776,George Wallace,Q313776,1
human,http://www.wikidata.org/entity/Q957941,William Kunstler,Q957941,3
human,http://www.wikidata.org/entity/Q13817395,Mary Benson,Q13817395,0
human,http://www.wikidata.org/entity/Q5454538,Fish Keitseng,Q5454538,0
human,http://www.wikidata.org/entity/Q7105088,Orton Chirwa,Q7105088,0
human,http://www.wikidata.org/entity/Q7405202,Sally Lilienthal,Q7405202,0
human,http://www.wikidata.org/entity/Q29902256,Alma Soller McLay,Q29902256,0
human,http://www.wikidata.org/entity/Q1259,Javier Pérez de Cuéllar,Q1259,0
human,http://www.wikidata.org/entity/Q5372822,Emma Groves,Q5372822,0
human,http://www.wikidata.org/entity/Q5547500,Georgia Gilmore,Q5547500,0
human,http://www.wikidata.org/entity/Q17626455,Frances Ames,Q17626455,0
human,http://www.wikidata.org/entity/Q54478547,Jean E. Fairfax,Q54478547,0
human,http://www.wikidata.org/entity/Q23071491,Renée Slotopolsky de Epelbaum,Q23071491,0
human,http://www.wikidata.org/entity/Q271049,Peter Benenson,Q271049,1
human,http://www.wikidata.org/entity/Q997,Andrei Sakharov,Q997,0
human,http://www.wikidata.org/entity/Q457798,Matilde Rosa Lopes de Araújo,Q457798,1
human,http://www.wikidata.org/entity/Q7367182,Rosalie Abrams,Q7367182,0
human,http://www.wikidata.org/entity/Q30005117,Ruth Reese,Q30005117,0
human,http://www.wikidata.org/entity/Q1257,Boutros Boutros-Ghali,Q1257,2
human,http://www.wikidata.org/entity/Q55775,Alina Margolis-Edelman,Q55775,0
human,http://www.wikidata.org/entity/Q311160,Hussein-Ali Montazeri,Q311160,1
human,http://www.wikidata.org/entity/Q842150,Akira Makino,Q842150,0
human,http://www.wikidata.org/entity/Q5831221,Emilio Fermín Mignone,Q5831221,0
human,http://www.wikidata.org/entity/Q50300230,Sonia Bunting,Q50300230,0
human,http://www.wikidata.org/entity/Q2570788,Mochtar Lubis,Q2570788,13
human,http://www.wikidata.org/entity/Q149547,Robert L. Bernstein,Q149547,0
human,http://www.wikidata.org/entity/Q87423,Wanda Bottesi,Q87423,0
human,http://www.wikidata.org/entity/Q113806,Felix Ermacora,Q113806,0
human,http://www.wikidata.org/entity/Q3218074,Larry Kwong,Q3218074,0
human,http://www.wikidata.org/entity/Q5044634,Carola B. Eisenberg,Q5044634,0
human,http://www.wikidata.org/entity/Q12040314,Naděžda Kavalírová,Q12040314,0
human,http://www.wikidata.org/entity/Q5553590,Geshe Gyeltsen,Q5553590,0
human,http://www.wikidata.org/entity/Q1718537,Wenten Rubuntja,Q1718537,4
human,http://www.wikidata.org/entity/Q19787182,Gertrude Newsome-Jackson,Q19787182,0
human,http://www.wikidata.org/entity/Q23685,Jimmy Carter,Q23685,128
human,http://www.wikidata.org/entity/Q45785,Kim Dae-jung,Q45785,1
human,http://www.wikidata.org/entity/Q5195905,Curtis W. Harris,Q5195905,0
human,http://www.wikidata.org/entity/Q1280936,Yuri Orlov,Q1280936,0
human,http://www.wikidata.org/entity/Q28503323,Elsa Massa,Q28503323,0
human,http://www.wikidata.org/entity/Q43249254,Barbara Ball,Q43249254,0
human,http://www.wikidata.org/entity/Q4802534,Arvonne Fraser,Q4802534,0
human,http://www.wikidata.org/entity/Q4888830,Benjamin Hooks,Q4888830,0
human,http://www.wikidata.org/entity/Q7876243,U Thaung,Q7876243,0
